partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
>;<;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;city;yes;never;4g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;general;city;no;never;6g;f
>;n;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;<;<;<;<;>;>;>;<;>;>;higher;city;yes;sev_a_week;2g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;professional;city;yes;sev_a_year;4g;f
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;=;<;>;<;>;>;higher;city;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;city;no;never;2g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;<;<;general;city;yes;sev_a_year;4g;f
<;<;<;>;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;city;yes;sev_a_year;9g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;city;no;never;6g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;city;yes;never;6g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;city;yes;sev_a_year;2g;f
>;<;>;<;>;>;>;<;<;<;<;<;<;>;>;>;>;>;<;>;<;>;>;>;>;<;>;>;professional;city;yes;never;5g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;higher;city;yes;sev_a_year;2g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;city;yes;never;3g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;city;no;never;2g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;general;city;yes;never;3g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;professional;city;yes;never;1g;m
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;>;professional;city;no;never;9g;f
<;<;<;<;<;=;<;<;<;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;>;>;>;<;general;city;yes;sev_a_year;6g;f
<;<;<;<;<;<;<;<;<;<;<;=;<;=;>;>;>;>;>;>;>;>;<;>;>;>;>;<;professional;city;yes;sev_a_year;9g;f
<;<;<;<;>;<;<;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;professional;city;yes;sev_a_year;9g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;city;yes;never;3g;m
<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;=;<;<;higher;city;no;never;4g;f
<;<;<;>;>;<;<;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;<;<;<;<;<;n;general;city;no;never;9g;f
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;city;no;never;11g;m
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;higher;city;yes;sev_a_year;2g;f
>;n;>;>;>;>;n;<;<;>;>;>;<;>;>;>;>;n;>;>;>;<;>;>;<;>;<;<;higher;city;yes;sev_a_year;3g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;city;no;never;7g;m
>;n;n;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;city;yes;sev_a_week;8g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;city;yes;sev_a_year;10g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;city;yes;sev_a_year;2g;f
>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;never;2g;m
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;professional;city;yes;sev_a_year;1g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;professional;city;no;sev_a_year;1g;f
<;<;<;>;>;<;<;<;<;>;>;>;<;=;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;sev_a_year;6g;m
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;higher;city;no;never;9g;f
>;<;>;>;>;>;>;<;<;<;>;>;>;>;>;>;>;>;<;>;>;>;>;>;>;>;<;<;higher;city;no;sev_a_year;7g;m
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;=;<;<;professional;city;yes;min_once_a_month;4g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;general;city;no;never;7g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;city;yes;sev_a_year;4g;f
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;city;yes;never;2g;f
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;city;yes;sev_a_year;6g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;higher;city;no;never;11g;m
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;city;yes;sev_a_year;2g;f
<;<;<;<;<;<;<;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;>;>;>;>;>;higher;city;yes;never;10g;f
<;<;<;<;<;>;<;<;<;<;<;>;<;<;<;>;>;>;>;>;>;>;>;>;>;>;>;<;higher;city;yes;sev_a_year;9g;f
>;n;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;city;yes;min_once_a_month;7g;m
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;city;yes;sev_a_year;4g;m
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;sev_a_year;7g;f
>;<;<;<;>;>;>;<;<;<;>;=;<;<;<;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;sev_a_year;7g;f
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;higher;city;yes;min_once_a_month;1g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;never;3g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;general;town;yes;sev_a_year;2g;f
>;n;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;>;>;>;>;>;>;>;=;<;<;general;town;yes;min_once_a_month;4g;f
>;<;<;>;>;<;>;<;<;<;<;<;<;>;>;>;>;>;>;>;<;>;<;<;<;<;<;>;professional;town;yes;never;9g;f
<;<;<;<;>;<;<;<;<;<;>;<;=;<;>;>;>;>;>;>;>;>;>;=;>;<;<;>;professional;town;yes;sev_a_year;7g;m
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;general;town;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;town;yes;never;5g;m
>;n;n;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;>;<;>;>;higher;town;yes;sev_a_year;5g;f
>;<;>;<;>;>;<;<;<;<;>;>;<;>;>;>;>;n;<;>;>;<;>;>;<;>;<;<;general;town;yes;never;3g;f
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;higher;city;yes;never;11g;m
<;<;<;>;>;<;<;>;n;>;>;>;>;<;>;>;<;<;>;>;>;>;>;<;<;<;<;>;professional;town;yes;sev_a_year;10g;f
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;=;<;<;higher;town;no;never;4g;f
<;<;<;<;>;>;<;>;<;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;no;never;2g;m
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;never;7g;f
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;higher;town;no;never;5g;f
<;<;<;>;>;>;<;>;<;>;>;>;>;<;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;min_once_a_month;8g;f
<;<;<;<;>;<;<;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;never;10g;f
<;<;<;<;=;=;<;>;n;>;>;>;>;<;<;>;>;<;>;>;>;>;>;>;>;=;<;<;professional;town;yes;sev_a_year;11g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;no;never;8g;m
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;higher;town;yes;never;11g;f
>;<;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;>;>;>;>;<;=;<;>;>;<;professional;city;yes;never;6g;f
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;city;yes;never;5g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;city;yes;sev_a_year;7g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;professional;city;yes;sev_a_year;11g;m
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;higher;city;yes;sev_a_year;7g;m
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;professional;city;yes;sev_a_year;6g;m
<;<;<;<;<;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;city;yes;sev_a_year;7g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;general;city;yes;sev_a_year;6g;m
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;city;yes;min_once_a_month;2g;f
>;<;>;>;>;>;>;<;<;<;>;=;<;>;>;>;>;>;<;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;6g;f
>;<;<;<;<;>;>;<;<;<;<;=;<;>;>;>;>;>;<;>;>;>;>;>;>;>;>;<;general;town;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;town;yes;never;4g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;never;8g;f
>;<;<;>;>;>;>;<;<;<;<;>;>;>;>;>;>;>;>;>;>;>;<;>;>;>;>;<;professional;town;no;sev_a_year;9g;f
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;6g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;general;town;yes;sev_a_year;7g;m
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;town;yes;sev_a_year;11g;m
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;general;city;yes;min_once_a_month;2g;f
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;>;>;>;>;general;city;yes;never;8g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;city;yes;sev_a_year;4g;f
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;>;professional;city;yes;sev_a_year;6g;f
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;never;7g;m
<;<;<;>;>;>;<;<;<;>;>;>;=;<;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;city;no;never;5g;m
>;n;>;>;>;>;>;<;<;<;<;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;city;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;city;yes;min_once_a_month;5g;f
>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;higher;city;no;never;1g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;city;yes;never;3g;f
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;city;yes;sev_a_year;6g;f
>;<;<;<;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;city;yes;sev_a_year;9g;f
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;<;=;<;>;<;<;professional;city;yes;min_once_a_month;4g;f
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;higher;city;yes;min_once_a_month;6g;f
>;<;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;>;>;>;>;<;>;>;>;>;<;higher;city;yes;once_a_week;1g;f
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;no;never;3g;m
>;<;>;<;>;<;>;<;<;<;>;<;<;>;>;>;>;>;<;>;<;>;>;<;>;<;<;>;professional;city;yes;sev_a_year;4g;f
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;professional;town;no;never;4g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;town;yes;sev_a_year;3g;f
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;town;yes;sev_a_year;5g;f
>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;<;>;=;<;<;<;<;>;professional;town;yes;sev_a_year;4g;f
>;n;>;>;>;>;n;<;<;<;<;<;<;>;>;>;>;n;<;>;>;<;>;>;<;>;<;<;general;town;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;min_once_a_month;5g;f
<;<;<;>;>;<;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;<;<;<;<;>;general;town;no;never;9g;m
<;<;<;<;<;<;<;>;n;>;>;>;>;<;>;>;<;<;>;>;>;>;<;<;<;<;<;>;professional;town;no;never;10g;f
<;<;<;>;>;<;<;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;no;never;2g;f
>;n;n;>;>;>;>;<;<;<;>;=;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;professional;town;yes;sev_a_year;1g;f
<;<;<;<;<;>;<;<;<;<;<;>;<;>;>;>;>;>;<;<;>;>;>;>;>;>;>;<;higher;town;yes;never;11g;f
>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;<;>;>;<;<;<;<;>;professional;city;yes;sev_a_year;5g;f
>;<;>;>;>;>;>;<;<;<;<;>;<;>;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;city;yes;never;4g;f
>;<;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;>;>;>;>;=;>;=;>;=;<;professional;city;yes;sev_a_year;9g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;professional;city;yes;never;9g;f
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;=;<;>;<;<;professional;city;yes;sev_a_year;2g;f
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;=;<;=;<;<;professional;city;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;sev_a_year;8g;f
>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;=;<;<;<;<;<;general;city;yes;never;7g;f
<;<;<;>;>;>;=;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;city;yes;sev_a_year;5g;f
<;<;<;>;>;<;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;general;city;yes;never;11g;m
>;<;>;>;>;>;<;<;<;>;>;>;<;>;>;>;>;<;>;>;>;<;=;<;<;<;<;<;professional;city;yes;sev_a_year;11g;f
<;<;<;>;>;>;<;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;city;yes;never;7g;m
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;higher;city;yes;sev_a_year;10g;f
<;<;<;>;>;>;<;<;<;>;>;>;=;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;city;yes;never;5g;m
<;<;<;<;>;<;<;<;<;<;>;<;<;<;>;>;>;>;>;>;>;>;>;<;>;<;<;>;general;town;yes;never;5g;f
<;<;<;<;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;higher;town;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;town;no;never;2g;f
>;n;n;>;>;>;>;<;<;=;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;=;<;<;higher;town;no;sev_a_year;2g;m
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;village;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;village;yes;sev_a_year;9g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;professional;village;yes;sev_a_year;3g;f
>;<;<;>;>;>;>;<;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;general;village;yes;sev_a_year;1g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;professional;village;yes;sev_a_year;2g;f
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;professional;village;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;general;village;yes;sev_a_year;1g;f
>;n;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;village;yes;sev_a_year;1g;f
>;<;<;>;>;>;<;<;<;=;<;=;<;>;>;>;>;>;>;>;>;>;<;=;<;>;<;<;professional;village;yes;min_once_a_month;2g;f
>;n;>;>;>;>;>;<;<;<;<;<;<;>;>;>;>;>;>;>;>;>;>;>;>;>;>;>;professional;village;yes;sev_a_year;9g;f
>;n;>;>;>;>;>;<;<;<;<;=;<;>;>;>;>;>;>;>;>;>;<;>;>;>;>;<;higher;village;yes;never;3g;f
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;village;yes;sev_a_year;5g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;village;yes;sev_a_year;4g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;professional;village;yes;sev_a_year;5g;f
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;>;<;>;<;<;>;professional;village;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;>;<;<;>;professional;village;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;general;village;yes;min_once_a_month;1g;f
>;n;n;>;>;>;>;<;<;<;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;4g;m
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;general;village;yes;sev_a_year;3g;f
<;<;<;<;<;<;<;<;<;>;>;<;<;=;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;town;yes;sev_a_year;1g;f
>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;higher;town;yes;sev_a_year;1g;f
<;<;<;<;<;<;<;<;<;<;<;=;<;<;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;town;yes;sev_a_year;3g;f
>;<;>;>;>;<;>;<;<;>;>;<;<;>;>;>;>;>;>;>;<;>;=;<;<;<;<;>;professional;town;yes;sev_a_year;5g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;<;<;<;<;<;higher;town;yes;min_once_a_month;3g;f
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;sev_a_year;2g;m
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;general;town;yes;never;2g;m
<;<;<;>;>;<;<;>;n;>;>;>;n;<;>;>;>;<;>;>;>;n;>;<;<;<;<;<;higher;town;yes;min_once_a_month;3g;f
<;<;<;<;>;<;<;>;<;>;>;=;<;<;<;>;<;<;>;>;>;>;>;<;<;<;<;<;higher;town;yes;once_a_week;5g;f
<;<;<;>;>;=;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;min_once_a_month;8g;m
<;<;<;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;>;<;professional;town;yes;sev_a_year;9g;m
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;higher;city;yes;sev_a_year;7g;m
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;>;<;<;>;professional;city;yes;sev_a_year;1g;f
<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;city;yes;sev_a_year;7g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;city;yes;min_once_a_month;2g;f
>;n;n;>;>;>;>;<;<;=;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;city;yes;never;2g;f
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;general;city;yes;sev_a_year;4g;f
n;n;n;>;>;n;n;n;n;>;>;n;n;n;>;>;n;n;>;>;n;n;>;<;<;<;<;n;general;city;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;city;no;never;1g;m
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;city;no;never;4g;m
<;<;<;>;>;<;<;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;professional;city;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;general;city;yes;sev_a_year;2g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;general;city;yes;never;8g;f
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;city;yes;never;1g;m
>;<;>;>;>;>;>;<;<;>;>;=;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;never;5g;m
>;<;=;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;higher;town;yes;once_a_week;4g;m
<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;higher;town;yes;sev_a_year;7g;f
<;<;<;<;<;<;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;>;general;town;yes;sev_a_year;6g;f
>;n;>;>;>;>;>;<;<;<;>;<;<;>;>;>;>;>;<;>;>;>;>;>;>;<;<;<;professional;town;yes;never;3g;f
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;professional;town;no;never;8g;f
>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;>;<;<;>;higher;town;yes;never;1g;f
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;town;yes;min_once_a_month;6g;f
